ID,item,probability,gamma_true,delta_true,gamma_obs,delta_obs,w_prob
1,1,0.53,0.24,0.77,0.14737333738913755,0.5767050592787573,0.36988312577070165
1,1,0.55,0.24,0.77,0.24042890619819873,0.6592699356354629,0.40893369398723933
1,1,0.5700000000000001,0.24,0.77,0.4116474936080343,0.5000806740695405,0.35963181567398605
1,1,0.59,0.24,0.77,0.2688553178905323,1.0646677891467577,0.5400432691252186
1,1,0.61,0.24,0.77,0.38065477996041774,0.9241342948751734,0.5228275338782282
1,1,0.63,0.24,0.77,0.23709890529035296,1.3711499654579988,0.6086968550639014
1,1,0.65,0.24,0.77,0.33484308981310884,0.6775661978674785,0.4546333574685881
1,1,0.67,0.24,0.77,0.29665621875502846,0.8039926905009197,0.49798061103037095
1,1,0.6900000000000001,0.24,0.77,0.28900386034379266,0.9383053214656771,0.5417916901057258
1,1,0.7100000000000001,0.24,0.77,0.3917131134219055,1.2233014346085564,0.6346660227181216
1,1,0.73,0.24,0.77,0.2305971282111906,0.8241651438704336,0.5089922197422386
1,1,0.75,0.24,0.77,0.2872854976037411,0.8669233350379357,0.5430954664049104
1,1,0.77,0.24,0.77,0.26480594029147564,0.8795027128069198,0.5477464081891678
1,1,0.79,0.24,0.77,0.24270586336510283,1.3121449526846165,0.6441059904182094
1,1,0.81,0.24,0.77,0.19837403574368734,1.200412130376448,0.615456963353088
1,1,0.8300000000000001,0.24,0.77,0.25182680206003144,0.8775359146057756,0.5667653921688274
1,1,0.85,0.24,0.77,0.17690528867348948,0.6158906752890487,0.45566035426974566
1,1,0.87,0.24,0.77,0.08294026420346914,0.5581892769316481,0.3952274186193584
1,1,0.89,0.24,0.77,0.258715503982594,0.8894148658083133,0.6043720295026552
1,1,0.91,0.24,0.77,0.15513539027557485,0.76983985074711625,0.5243192667846664
1,1,0.93,0.24,0.77,0.4001779752325788,0.3795392933005866,0.5165786595272656
1,1,0.9500000000000001,0.24,0.77,0.19191673360469896,0.8719206240322744,0.6054032062637468
1,1,0.97,0.24,0.77,0.17665988188905282,1.5142247626655068,0.7367201915168671
1,1,0.99,0.24,0.77,0.08049884065689814,0.980909433341455,0.5867695380059547
2,1,0.01,0.24,0.77,0.32848989830677355,0.6376241289626016,0.12352585050211567
2,1,0.03,0.24,0.77,0.2561649363031653,0.7469006032991313,0.23464289550985548
2,1,0.05,0.24,0.77,0.17190177724913513,0.6886620392487728,0.29335209940101314
2,1,0.06999999999999999,0.24,0.77,0.05089936431432096,0.9734103708478256,0.46043032791161886
2,1,0.09,0.24,0.77,-0.026969442375973846,1.5820002472553387,0.6274020178823636
2,1,0.11,0.24,0.77,0.28590424832543343,0.8589661706209468,0.320869783997709
2,1,0.13,0.24,0.77,0.21645365627258922,1.2991149294155528,0.4626232893380537
2,1,0.15000000000000002,0.24,0.77,0.10845529723759134,0.8649412090931546,0.4174572538153878
2,1,0.17,0.24,0.77,0.12669700342747614,0.5898611172522851,0.32546637177227317
2,1,0.19,0.24,0.77,0.3119162438555798,0.9428287415760316,0.3749234265394797
2,1,0.21000000000000002,0.24,0.77,0.19259572144644072,0.6284466906770256,0.32746366429771073
2,1,0.23,0.24,0.77,0.3449662450799056,1.0728420757661006,0.4142277043712294
2,1,0.25,0.24,0.77,0.1558178974230912,0.19258839764401436,0.13962795573824255
2,1,0.27,0.24,0.77,0.1451819731517044,0.787356756588441,0.4052890219729109
2,1,0.29000000000000004,0.24,0.77,0.25770941475710496,0.9193730333226803,0.4219405659016808
2,1,0.31,0.24,0.77,0.22121535040994744,0.6225336520626179,0.34277407780603386
2,1,0.33,0.24,0.77,0.10140588557122791,0.7486486492674513,0.41064499823202427
2,1,0.35000000000000003,0.24,0.77,0.3171058229854615,0.8665187434176246,0.41591333136525277
2,1,0.37,0.24,0.77,0.07961613619634741,1.370782729255298,0.5678314274343416
2,1,0.39,0.24,0.77,0.27323617928335336,0.748236940533699,0.39837094660401096
2,1,0.41000000000000003,0.24,0.77,0.21384869627335978,0.8542047863308652,0.4414158594304429
2,1,0.43,0.24,0.77,0.43773103970937977,1.0580060367103197,0.48325902032069834
2,1,0.45,0.24,0.77,0.08846521471763341,0.3358933142210666,0.248110704725192
2,1,0.47000000000000003,0.24,0.77,0.16309088121192525,1.209911442683951,0.5426344004399026
2,1,0.49,0.24,0.77,0.09729798972282808,0.8526110838299921,0.4592545017520125
2,1,0.51,0.24,0.77,0.19460184071748332,0.8920549770258992,0.4734144955981121
2,1,0.53,0.24,0.77,0.42539203020643135,0.7434827484961918,0.4389803491814849
2,1,0.55,0.24,0.77,0.25266622937537425,0.46919349763935403,0.3304750397250588
2,1,0.5700000000000001,0.24,0.77,0.11522945368505554,1.1380667222829501,0.5403641005378607
2,1,0.59,0.24,0.77,0.41972753679317576,0.7503272819661455,0.4664307006433478
2,1,0.61,0.24,0.77,0.22011235869322968,0.79362307854431,0.4668766594691066
2,1,0.63,0.24,0.77,0.2509618470437824,0.9592863985694213,0.5229839179965663
2,1,0.65,0.24,0.77,0.12744156231374826,0.4991793857871383,0.3507148625042143
2,1,0.67,0.24,0.77,0.07806481145204242,0.44766718981064274,0.32116548276729906
2,1,0.6900000000000001,0.24,0.77,0.08589266921902058,1.0037957400080342,0.5181202949823962
2,1,0.7100000000000001,0.24,0.77,0.2660373522382087,0.8549477574257026,0.5203614050548198
2,1,0.73,0.24,0.77,0.22617481152196703,0.5202866628255376,0.394504455296913
2,1,0.75,0.24,0.77,0.19096094100089278,0.7192839470193374,0.4701089249904095
2,1,0.77,0.24,0.77,0.2339617315624139,1.1953799182231306,0.6132899504119873
2,1,0.79,0.24,0.77,0.1512858152925202,0.4832901557610217,0.37128790496178254
2,1,0.81,0.24,0.77,0.1658446668752959,1.158945835291266,0.5957980850937922
2,1,0.8300000000000001,0.24,0.77,0.2936039807686575,0.6310409883795611,0.5012905011121993
2,1,0.85,0.24,0.77,0.23203705836453942,0.7760704381288108,0.537176198613596
2,1,0.87,0.24,0.77,0.2380094432367783,0.5716354462029252,0.4733234338815313
2,1,0.89,0.24,0.77,0.20669278525854767,0.1100704010453486,0.1449843449765064
2,1,0.91,0.24,0.77,0.22390068941336527,0.8185227972200683,0.578780791884736
2,1,0.93,0.24,0.77,0.24990679344369973,0.5960045648525778,0.5321865017982599
2,1,0.9500000000000001,0.24,0.77,0.3287729772033587,0.7002875858998847,0.6483485104848794
2,1,0.97,0.24,0.77,-0.012809748938616666,0.8515818668870122,0.4488823227540826
2,1,0.99,0.24,0.77,0.08978302430274873,0.8303888005629633,0.5564341345961832
3,1,0.01,0.24,0.77,0.08921640517194651,0.9036372087727694,0.37489177949867225
3,1,0.03,0.24,0.77,0.21179450794171034,0.36857449306474477,0.15003442929615507
3,1,0.05,0.24,0.77,0.1750723000023118,1.5706242478698376,0.48400132486911707
3,1,0.06999999999999999,0.24,0.77,0.06217754163043415,1.0788340263203016,0.4787744809833441
3,1,0.09,0.24,0.77,0.19725517215541363,0.9801252500034725,0.3830904329669905
3,1,0.11,0.24,0.77,0.1564964555676993,0.5035830870974508,0.2663540468606852
3,1,0.13,0.24,0.77,0.1853025317273449,1.1902275109132365,0.4555903374501743
3,1,0.15000000000000002,0.24,0.77,0.33172227165210144,0.750346669371342,0.2967910420793889
3,1,0.17,0.24,0.77,0.302647345646583,1.1927147231932511,0.42466450241494313
3,1,0.19,0.24,0.77,0.26660020366068904,1.0695613811050992,0.42084041339780875
3,1,0.21000000000000002,0.24,0.77,0.1547770086805369,1.2144268823364022,0.4973010940392331
3,1,0.23,0.24,0.77,0.16715509062939565,1.1542024256401833,0.4853627324566929
3,1,0.25,0.24,0.77,0.04248900691179883,1.1339271011187277,0.5197417249996676
3,1,0.27,0.24,0.77,0.06323482022773436,0.6915393166434256,0.3937132868399038
3,1,0.29000000000000004,0.24,0.77,0.43284946436615934,0.46164133533529217,0.2385703543984007
3,1,0.31,0.24,0.77,0.20754088901051573,0.85460433888875,0.4199023786570004
3,1,0.33,0.24,0.77,0.307015596707582,0.8928621140357299,0.41805888356154747
3,1,0.35000000000000003,0.24,0.77,0.28741617525944446,1.108960434780387,0.48138389668181925
3,1,0.37,0.24,0.77,0.19167128775387554,0.8860650316063388,0.44448591082939004
3,1,0.39,0.24,0.77,0.011001326007020307,0.6973490182016338,0.4096553608451362
3,1,0.41000000000000003,0.24,0.77,0.117239506999719,0.5765043082733071,0.3558451260837574
3,1,0.43,0.24,0.77,0.25946790761054517,0.804694046169888,0.42789995311341456
3,1,0.45,0.24,0.77,0.026746073887800398,0.671006380803651,0.40026914747965364
3,1,0.47000000000000003,0.24,0.77,0.045981618209664676,0.7982348129947948,0.44253580445920787
3,1,0.49,0.24,0.77,0.05984017211697143,1.1943082267222258,0.5436816575480357
3,1,0.51,0.24,0.77,0.4128002284800826,0.8408577479783613,0.4608755044140617
3,1,0.53,0.24,0.77,0.20006943969612545,0.9886374951205957,0.5031523716849103
3,1,0.55,0.24,0.77,0.1867904640963708,1.065825387020304,0.5252866293571437
3,1,0.5700000000000001,0.24,0.77,0.27074401898587586,0.20299896519869953,0.17972011460126597
3,1,0.59,0.24,0.77,0.08589972007337594,0.9943134307668344,0.5063900832357487
3,1,0.61,0.24,0.77,0.2991830376411547,0.8034148549266948,0.47874885048870325
3,1,0.63,0.24,0.77,0.3463688066488961,0.7612096659585079,0.4778886452789652
3,1,0.65,0.24,0.77,0.23651855935608584,1.3397668790649466,0.6079992486604119
3,1,0.67,0.24,0.77,0.02994945864056961,0.7129710165736368,0.4213815039929963
3,1,0.6900000000000001,0.24,0.77,0.19166380850131198,1.1468453343587988,0.5720864428069605
3,1,0.7100000000000001,0.24,0.77,0.33948016088299504,0.9984986165316347,0.575044411324893
3,1,0.73,0.24,0.77,0.27969288593222696,1.375747884374285,0.6450123256952427
3,1,0.75,0.24,0.77,0.29010918497761384,0.9455680395367984,0.5653117112326933
3,1,0.77,0.24,0.77,0.23849480198330902,1.3228242691810395,0.6382888573590854
3,1,0.79,0.24,0.77,0.25374004243603104,1.1428742211873506,0.6153205513174483
3,1,0.81,0.24,0.77,0.17256107500641293,0.9757754710009692,0.5561848473602637
3,1,0.8300000000000001,0.24,0.77,0.25232108104274653,1.0071283837262575,0.6004139702659315
3,1,0.85,0.24,0.77,0.26181792209084936,1.0542684809140892,0.6241021878731423
3,1,0.87,0.24,0.77,0.2130643780765542,0.41925676090262276,0.3859792392874086
3,1,0.89,0.24,0.77,0.15911654916426218,0.3501803018011346,0.32813427640167836
3,1,0.91,0.24,0.77,0.07906398836416706,0.5653773743947483,0.4043586129390016
3,1,0.93,0.24,0.77,0.14103679092609261,0.36510254712891743,0.3446232093820873
3,1,0.9500000000000001,0.24,0.77,0.21447569962124363,1.1166090438451999,0.67739088478664
3,1,0.97,0.24,0.77,0.22168796158885126,0.8845146669479679,0.6565355092488968
3,1,0.99,0.24,0.77,0.12400719152873915,1.3318312847674343,0.701904365763548
4,1,0.01,0.24,0.77,0.05695984728426273,1.1983267562387148,0.47980820949612035
4,1,0.03,0.24,0.77,-0.056544017407759134,1.362702530675128,0.6238735861710142
4,1,0.05,0.24,0.77,0.1848361324063741,0.7284321941569546,0.2971096909317022
4,1,0.06999999999999999,0.24,0.77,0.07726880229273238,1.7184197136129575,0.5845632740636888
4,1,0.09,0.24,0.77,-0.029071975343532785,1.3014237871841818,0.5819347540028491
4,1,0.11,0.24,0.77,-0.018115727565637077,1.094947898897452,0.5321013030102809
4,1,0.13,0.24,0.77,0.19251589752351456,0.9614437132547129,0.40004345754316006
4,1,0.15000000000000002,0.24,0.77,0.05391748434210619,0.8644964383727272,0.4404999170404604
4,1,0.17,0.24,0.77,0.053247293157557204,1.8857682629587535,0.6341135371671507
4,1,0.19,0.24,0.77,0.05952114398669373,1.3537358656475293,0.553929846644036
4,1,0.21000000000000002,0.24,0.77,0.08940262871521323,1.9635294549590556,0.6355940966295331
4,1,0.23,0.24,0.77,0.06817011210448048,1.3586990430448582,0.5558057622505429
4,1,0.25,0.24,0.77,-0.15511943291334604,0.7186312345614461,0.46008739478007316
4,1,0.27,0.24,0.77,0.06219350619241178,1.9662800343808535,0.6489175076424745
4,1,0.29000000000000004,0.24,0.77,0.026789415514988375,0.9065740120743202,0.4695204830435798
4,1,0.31,0.24,0.77,0.09173490075210472,1.0649489781855865,0.49738203032962197
4,1,0.33,0.24,0.77,0.04835222957256633,1.7333891217713004,0.6261736152432549
4,1,0.35000000000000003,0.24,0.77,0.08602580839389057,1.0832432880191456,0.5066761624894643
4,1,0.37,0.24,0.77,0.015381485845628678,0.9548507146641038,0.486406711506405
4,1,0.39,0.24,0.77,-0.12427135377382137,1.1614362130147309,0.5511319905604082
4,1,0.41000000000000003,0.24,0.77,-0.012174509689213853,1.4446398374273208,0.5920124831426858
4,1,0.43,0.24,0.77,0.0577966752561072,1.399981878179126,0.5793654949419623
4,1,0.45,0.24,0.77,-0.03583813462134093,1.3371524558023757,0.5738884769700787
4,1,0.47000000000000003,0.24,0.77,0.019673899338490924,1.1171504592348913,0.5270778574629699
4,1,0.49,0.24,0.77,-0.11918148791610936,1.566390666003211,0.6114810285914115
4,1,0.51,0.24,0.77,0.23187507754426376,1.6581282109797832,0.6259698089389072
4,1,0.53,0.24,0.77,0.14402904199009778,1.681365395236417,0.6310934217878775
4,1,0.55,0.24,0.77,0.14817544571189012,1.5259494377769829,0.6111981233886656
4,1,0.5700000000000001,0.24,0.77,0.07517231860068377,1.2949099648609368,0.5694551610990222
4,1,0.59,0.24,0.77,0.09150786360030232,1.4547324673138844,0.6006388531470298
4,1,0.61,0.24,0.77,0.1317392328384025,1.2785811077943656,0.5755860644088776
4,1,0.63,0.24,0.77,0.1920398857592905,1.3841204363630322,0.6052219949181336
4,1,0.65,0.24,0.77,-0.020411532238045565,1.1129056031411428,0.5235672032251886
4,1,0.67,0.24,0.77,-0.07910771050930951,1.5469206711265762,0.5939318049182083
4,1,0.6900000000000001,0.24,0.77,0.12355941728519797,0.7685313140418535,0.45898941502302915
4,1,0.7100000000000001,0.24,0.77,0.15815477817087675,1.1591724892930606,0.5718285831472234
4,1,0.73,0.24,0.77,0.02727379862457365,1.1935199882307574,0.5508322895125238
4,1,0.75,0.24,0.77,0.0730111515430657,1.3218076548140834,0.5888494704339887
4,1,0.77,0.24,0.77,0.2270655678856588,1.5084641540629125,0.6649557505391068
4,1,0.79,0.24,0.77,-0.042779401240020123,1.6321218967297506,0.6066378805423197
4,1,0.81,0.24,0.77,0.07361156462909393,1.050409344819765,0.5389005895165704
4,1,0.8300000000000001,0.24,0.77,-0.13445866229226747,1.2991836139525033,0.5121313079837455
4,1,0.85,0.24,0.77,-0.11521072690568568,1.4936151925517978,0.5501693191030144
4,1,0.87,0.24,0.77,-0.03962106935583373,1.3487090362521386,0.5557250047070293
4,1,0.89,0.24,0.77,0.14268890350543167,1.8097991265290037,0.7092081638406472
4,1,0.91,0.24,0.77,0.16689590256786047,1.1140386525041162,0.6210784068804719
4,1,0.93,0.24,0.77,0.15452941965909756,1.187235397144035,0.6390739329645299
4,1,0.9500000000000001,0.24,0.77,0.15645686815860987,0.9790391221669253,0.6081384604949639
4,1,0.97,0.24,0.77,0.018563753707592827,1.1268849691667526,0.5458673351475988
4,1,0.99,0.24,0.77,0.13010353415645698,1.389105843402595,0.7163649961585766
5,1,0.01,0.24,0.77,0.08181030762670459,0.7508032919702896,0.3401693210817484
5,1,0.03,0.24,0.77,0.07966698080491608,1.3412265734572952,0.5041634690196869
5,1,0.05,0.24,0.77,-0.03787001384372865,0.655492437610411,0.4229042098352671
5,1,0.06999999999999999,0.24,0.77,0.12086712350083062,0.9163192407752292,0.40130365225652076
5,1,0.09,0.24,0.77,0.09421003609519413,0.9712571625377113,0.4385296274547654
5,1,0.11,0.24,0.77,0.22886471533630823,1.376495612107155,0.4603444609138434
5,1,0.13,0.24,0.77,0.01888821045418068,1.046066851714669,0.5022828756936527
5,1,0.15000000000000002,0.24,0.77,0.07139029329353988,1.5100501755957234,0.5715821470591252
5,1,0.17,0.24,0.77,0.08584070429169156,1.3604150495121345,0.5428145127260234
5,1,0.19,0.24,0.77,-0.1386180017099336,1.0139040363583387,0.5534959032300111
5,1,0.21000000000000002,0.24,0.77,0.1396194485203172,1.0935291188383,0.47612438029474796
5,1,0.23,0.24,0.77,0.11136482539828679,1.3260375804004518,0.5368410776870989
5,1,0.25,0.24,0.77,0.14317781573983113,0.11992927556993616,0.09294880897094945
5,1,0.27,0.24,0.77,0.01864785096724611,1.0826060841217253,0.5152012143008083
5,1,0.29000000000000004,0.24,0.77,0.33208544947330293,1.4464645325496424,0.5179368775534502
5,1,0.31,0.24,0.77,0.11334938919847506,0.9492767967110662,0.4643735048812001
5,1,0.33,0.24,0.77,-0.1428828674932857,1.2482079630643523,0.5800299655901949
5,1,0.35000000000000003,0.24,0.77,0.02644875176036786,1.2017200226732794,0.5417478438140361
5,1,0.37,0.24,0.77,0.10014488452415685,0.35964624044151405,0.25427639437954835
5,1,0.39,0.24,0.77,0.1293285585781635,1.000629572057183,0.4856986843259035
5,1,0.41000000000000003,0.24,0.77,-0.0811336187690177,1.192400224778584,0.551194491862496
5,1,0.43,0.24,0.77,0.09305920665774417,1.1898785798145688,0.5368387298698618
5,1,0.45,0.24,0.77,0.08720819413152404,0.7623033383372844,0.4282705299865684
5,1,0.47000000000000003,0.24,0.77,0.10452295320519714,1.0946608168196743,0.5194618426472858
5,1,0.49,0.24,0.77,0.16239780713960353,1.1954819228239526,0.5429073585666732
5,1,0.51,0.24,0.77,-0.021597668794111805,1.4205740987310602,0.5866653653225095
5,1,0.53,0.24,0.77,0.0909537161362627,1.2102493222043473,0.5502680937790411
5,1,0.55,0.24,0.77,0.0814402220840344,0.8937028713362507,0.47600862467940336
5,1,0.5700000000000001,0.24,0.77,-0.04853369690820425,1.2141904458699035,0.5449776575893547
5,1,0.59,0.24,0.77,0.21936639732045488,1.0892182392501968,0.5412316558598338
5,1,0.61,0.24,0.77,0.09197542990339115,1.1957390024910368,0.554756051621887
5,1,0.63,0.24,0.77,0.2099791230603359,0.965676441957428,0.5191975512580048
5,1,0.65,0.24,0.77,-0.03107998242786013,0.791516208096974,0.43707424942143863
5,1,0.67,0.24,0.77,0.1476181305076854,1.137387798230183,0.5580557641761423
5,1,0.6900000000000001,0.24,0.77,-0.0075794365633735095,0.4452385192164381,0.3067814748742405
5,1,0.7100000000000001,0.24,0.77,-0.06385677303195336,0.8943354948575868,0.4578873479705717
5,1,0.73,0.24,0.77,0.19035214560565022,0.925521396910219,0.5279534499929389
5,1,0.75,0.24,0.77,0.11467377252061926,1.3111795751971855,0.5979448330437747
5,1,0.77,0.24,0.77,0.22626350309979262,1.0551255980887977,0.5810430149388457
5,1,0.79,0.24,0.77,-0.07584604646855861,0.6654974883040123,0.3757303276477672
5,1,0.81,0.24,0.77,0.18353115595454345,1.0452819750202569,0.5769850231880199
5,1,0.8300000000000001,0.24,0.77,0.03561451165238674,0.8008954041163056,0.45870587732889734
5,1,0.85,0.24,0.77,0.019530435110449842,1.3042038943363221,0.5743130283317625
5,1,0.87,0.24,0.77,0.03405559553737422,0.668388764906376,0.4162596609230573
5,1,0.89,0.24,0.77,0.05816402732972369,0.9765314243488856,0.5244448893054307
5,1,0.91,0.24,0.77,-0.004319390795530509,1.1117127659694566,0.5239587288867882
5,1,0.93,0.24,0.77,-0.05685078090712467,0.7361430180591686,0.3885559760023667
5,1,0.9500000000000001,0.24,0.77,0.09098377471297417,1.16313177929731,0.6032468896734108
5,1,0.97,0.24,0.77,-0.0021552978247776217,0.8056191954424479,0.44432282135995677
5,1,0.99,0.24,0.77,-0.03913927991382021,1.3970639620454535,0.5385541117533025
6,1,0.01,0.24,0.77,0.19496126924987395,0.7922084202906992,0.24438240984240195
6,1,0.03,0.24,0.77,0.07008690213322298,0.748158312074156,0.3696381035197817
6,1,0.05,0.24,0.77,0.0427973404821866,0.620027265781248,0.35342772383210036
6,1,0.06999999999999999,0.24,0.77,0.038960570622016966,1.2592264534781008,0.5323842804609551
6,1,0.09,0.24,0.77,0.11387058663908121,0.41465685341517716,0.2416308861692404
6,1,0.11,0.24,0.77,0.04355819944934175,0.8136548576545954,0.4262206051090977
6,1,0.13,0.24,0.77,0.16003515155250866,0.8184903122145529,0.3764804635946256
6,1,0.15000000000000002,0.24,0.77,0.013234403244363216,0.5167036358987094,0.3355380579901707
6,1,0.17,0.24,0.77,0.29046913766282867,1.2075490123179315,0.43242031466905545
6,1,0.19,0.24,0.77,0.09026427998109904,0.694786944408667,0.3787083674012662
6,1,0.21000000000000002,0.24,0.77,0.0790636453446619,0.19760311283960896,0.1510681088361369
6,1,0.23,0.24,0.77,0.11730118314041796,0.7386883158781437,0.39064172830340754
6,1,0.25,0.24,0.77,0.13733412068256512,0.31616494457823174,0.21376672632085736
6,1,0.27,0.24,0.77,0.1261080743283887,0.8266439293098196,0.4216969353096795
6,1,0.29000000000000004,0.24,0.77,0.04535398628325937,0.43051350603391164,0.2924766457758573
6,1,0.31,0.24,0.77,0.12210207443118454,1.0973284792825346,0.49879558840544513
6,1,0.33,0.24,0.77,0.26166524357656407,0.24517065893422652,0.16922804377064832
6,1,0.35000000000000003,0.24,0.77,0.21988061077826032,0.7008134191795534,0.3795100544244046
6,1,0.37,0.24,0.77,0.11098293823738468,0.502060039960366,0.3212348860164097
6,1,0.39,0.24,0.77,0.18871065533994058,0.7297521480657094,0.40144138896992027
6,1,0.41000000000000003,0.24,0.77,0.10704657579866717,0.550953044384149,0.3463625140956251
6,1,0.43,0.24,0.77,-0.009625522178661278,0.6933676614321779,0.4101169533875098
6,1,0.45,0.24,0.77,0.12279844425041253,0.9295162691096054,0.4755861752616722
6,1,0.47000000000000003,0.24,0.77,0.0399168050264269,0.7390161691019277,0.42379070142363584
6,1,0.49,0.24,0.77,0.010850303069973255,0.7412288084117389,0.4255868213634525
6,1,0.51,0.24,0.77,0.06592391146001933,0.3692745188140514,0.27020600424161845
6,1,0.53,0.24,0.77,0.03782675488232819,0.88943444663232,0.4718735237058276
6,1,0.55,0.24,0.77,0.08763107290574942,0.9207832628418516,0.4837693020594884
6,1,0.5700000000000001,0.24,0.77,0.19204595299282554,0.4078913041366949,0.3009819689235475
6,1,0.59,0.24,0.77,0.047982700178834256,0.9355253785875991,0.4877067370553228
6,1,0.61,0.24,0.77,0.09274084289085124,1.105509118083809,0.5353882518152641
6,1,0.63,0.24,0.77,0.047147249707640546,0.8574367469419747,0.4678655267245397
6,1,0.65,0.24,0.77,-0.017083034895572252,0.8584196815818195,0.45928107055800704
6,1,0.67,0.24,0.77,0.21876913119632824,0.6377674052395089,0.4268162872699262
6,1,0.6900000000000001,0.24,0.77,0.10842117459616529,0.8046276461743971,0.46738990951674103
6,1,0.7100000000000001,0.24,0.77,0.147075049473803,0.29471812851001317,0.2516093861026178
6,1,0.73,0.24,0.77,0.09495681112825755,0.9344667356236163,0.5066663398000945
6,1,0.75,0.24,0.77,0.1529556512034723,0.3927675923744353,0.3172370910141229
6,1,0.77,0.24,0.77,0.14491396111076435,1.0054776740086286,0.5450187253981914
6,1,0.79,0.24,0.77,0.2099201896385378,0.7782333844028392,0.5068495151047678
6,1,0.81,0.24,0.77,0.1853356193815056,1.0083705785287975,0.5688287976446047
6,1,0.8300000000000001,0.24,0.77,0.08379719572509892,0.7219737530874263,0.45192513038051413
6,1,0.85,0.24,0.77,0.22950739115266494,0.5755021303205009,0.46147436709278233
6,1,0.87,0.24,0.77,0.16023987681868251,0.32246268729504507,0.3042462359948618
6,1,0.89,0.24,0.77,0.16454375819857384,0.7601286807456239,0.5174306471957049
6,1,0.91,0.24,0.77,0.34249531774201125,0.3426230955401562,0.43076880162376624
6,1,0.93,0.24,0.77,0.33242327910557556,1.2313289255793824,0.744210630001646
6,1,0.9500000000000001,0.24,0.77,0.021110737116713005,0.3902506568364649,0.2934251087203389
6,1,0.97,0.24,0.77,0.12580893386013126,-0.06977413203621019,-0.12113819819535329
6,1,0.99,0.24,0.77,0.09186517381734785,0.6424887496034719,0.49493155137469
7,1,0.01,0.24,0.77,0.09977863301727383,0.43144776820865227,0.2143159182624903
7,1,0.03,0.24,0.77,0.12355752726753268,0.10865241951789084,0.06604453534654346
7,1,0.05,0.24,0.77,0.18478486876249853,0.7343974721145936,0.29884736333254697
7,1,0.06999999999999999,0.24,0.77,0.3184834300017877,0.0629490526509422,0.026876799200551017
7,1,0.09,0.24,0.77,0.12122859922148735,0.6331526922100142,0.3235461667957992
7,1,0.11,0.24,0.77,0.03992288599589708,0.5070169018520468,0.3180648315893221
7,1,0.13,0.24,0.77,0.19941646260539264,0.529080661462479,0.2658664488152776
7,1,0.15000000000000002,0.24,0.77,0.25556699706865205,0.3808139541873081,0.19643111301935084
7,1,0.17,0.24,0.77,0.11825766265239301,0.4496227915438394,0.27153295733427263
7,1,0.19,0.24,0.77,0.08900025402679172,0.7607830847173777,0.4007218563306107
7,1,0.21000000000000002,0.24,0.77,0.25639670446736607,0.11904040831376039,0.0781322560133055
7,1,0.23,0.24,0.77,0.31035175057736863,0.7244818511143144,0.3324111095963226
7,1,0.25,0.24,0.77,0.03688858041812951,0.4681804560737175,0.31014794943834084
7,1,0.27,0.24,0.77,0.15446269372378357,0.22883271033086783,0.16405019146051483
7,1,0.29000000000000004,0.24,0.77,0.056509222764205946,0.6556445282722958,0.38396935377995334
